Sample,Source
"Déanfar an Conradh ag bunú an Chomhphobail Eorpaigh do Ghual agus Cruach a leasú i gcomhréir le forálacha an Airteagail seo.
In Airteagal 10, cuirtear an méid seo a leanas in ionad mhír 2:
Ainmneoidh an Chomhairle, ag teacht le chéile di i dtionól na gCeannairí Stáit nó Rialtais, an duine a bheartaíonn siad a cheapadh ina Uachtarán ar an gCoimisiún; déanfaidh Parlaimint na hEorpa an t-ainmniúchán a fhormheas.
Glacfaidh an Chomhairle, ag gníomhú di tri thromlach cáilithe agus de chomhthoil leis an ainmnitheach do phost an Uachtaráin, liosta na ndaoine eile a bheartaíonn siad a cheapadh ina gcomhaltaí den Choimisiún, arna tharraingt suas i gcomhréir leis na tograí arna ndéanamh ag gach Ballstát.
Déanfar Uachtarán agus comhaltaí eile an Choimisiúin arna n-ainmniú amhlaidh a chur mar choláiste faoi réir vota formheasta ag Parlaimint na hEorpa.
Ceapfaidh an Chomhairle, ag gníomhú di tri thromlach cáilithe, Uachtarán agus comhaltaí eile an Choimisiúin tar éis fhormheas Pharlaimint na hEorpa.""
Cuirtear an méid seo a leanas in ionad Airteagal 11:
""Airteagal 11
Oibreoidh an Coimisiún faoi threoir pholaitiúil a Uachtaráin agus cinnfidh sé a eagrúchán inmheánach d'fhonn comhchuibheas, éifeachtacht agus coláisteacht a ghníomhaíochta a áirithiú.
","OPUS QED, lines 20616 to 20625"
"— fréamshamhla d'ionstraimí cuardaigh; — mianreolaíocht; — radaibhitheolaíocht; c) biúró caighdeán, ag sainfheidhmiú i dtomhais núicléacha chun iseatóipí a anailísiú agus i dtomhais absolóideacha na radaíochta agus an ionsúite ar neodróin, le himoibritheoir turgnamhach dá chuid féin.
Doiciméadacht, faisnéis agus teagasc.
Déanfaidh an tAirmheán Comhpháirteach socrú chun faisnéis a mhalartú ar mhórchóir, go háirithe sna réimsí seo a leanas:
— amhábhair: modhanna cuardaigh, mianadóíreachta, tiubhacháin, claochlaithe, saothraithe, etc.;
— fisic a chur chun feidhme ar fhuinneamh núicléach ;
— ceimíc fhisicíúil imoibritheoirí;
— próiseáil ar ábhair radaíghníomhacha;
— feidhmeanna rada-iseatóipí.
Eagróidh an tAirmheán Comhpháirteach sainchúrsaí chun cuardóirí a thraenáil agus i dtaobh feidhmeanna rada-iseatóipí.","OPUS QED, lines 11762 to 11771"
"Airteagal 26
I gcás ina ndearnadh faisnéis lena mbaineann paitinní. iarratais ar phaitinni. cearta paitinne atá cosanta go sealadach. cuspai áisiúlachta nó iarratais ar chuspaí áisiúlachta a rúnaicmiú de réir Airteagal 24 agus 25, ní fhéadfaidh na Stáit a d'iarr an rúnaicmiú sin diúltú cead a thabhairt a samhail d'iarratais a chomhadú sna Ballstáit eile.
Déanfaidh gach Ballstát na bearta is gá chun na cearta agus na hiarratais sin a choimeád faoi shlándáil de reirán nós imeachta atá leagtha síos ina dhlíthe agus ina rialacháin féin.
Ní fhéadfar aon iarratais a bhaineann le faisnéis atá rúnaiemithe de réir Airteagal 24 a chomhadú lasmuigh de na Ballstáit ach amháin lena n-aontoilíocht.
Mura gcuirfidh Ballstáit a seasamh in iúl, measfar a dtoiliú a bheith faighte ar shé mhí a bheith caite ón data a chuir an Coimisiún an fhaisnéis i bhfios do na Ballstáit.
Airteagal 27
Beidh an cúiteamh i leith aon damáiste a bhain don iarratasóir de dhroim rúnaicmiú ar chúiseanna cosanta faoi réir forálacha dlithe
náisiúnta na mBallstát agus luífidh a fhreagracht ar an Stát a d'iarr an rúnaicmiú sin nó a fuair uasghnidú nó fadú aran rúnaicmiú nó a chuir faoi deara go dtoirmiscfí comhadú iarratas lasmuigh den Chomhphobal.
I gcás ina mbeidh roinnt Ballstát tar éis uasghrádú nó fadú a fháil ar an rúnaicmiú nó inar chuir siad faoi deara go dtoirmiscfí comhadú iarratas lasmuigh den Chomhphobal beidh siad freagrach i gcomhpháirt in aon damáiste a shlánú a tharla dá bhíthin sin.","OPUS QED, lines 10560 to 10569"
"In aon chás ina gceanglaítear ar an Ard-Údarás leis an gConradh seo. nó le rialacha a bheidh leagtha sios chun a churtha i ngníomh. cinneadh a ghlacadh nó moladh a thabhairt agus nach gcomhlíonfaidh sé an oibleagáid sin. is do na Stáit. don Chomhairle. do na gnóthais nó do na comhlachais. de réir mar a bheidh. é sin a thabhairt os comhair an Ard-Údaráis.
Bainfidh an fhoráil chéanna leis an gcás ina gcumhachtaítear don Ard-Údarás leis an gConradh seo, nó le rialacha a bheidh leagtha síos chun a churtha i ngníomh, cinneadh a ghlacadh nó moladh a thabhairt agus go staonfaidh sé óna dhéanamh agus gur mí-úsáid chumhachtaí an staonadh sin.
Más rud é, tar éis tréimhse dhá mhi, go mbeidh an tArdÜdarás gan aon chinneadh a ghlacadh ná aon mholadh a thabhairt, féadfar achomharc a thionscnamh os comhair na Cúirte, laistigh de mhi, in aghaidh an diúltú is intuigthe a bheith tugtha ag an Ard-Üdarás tri fhanacht ¡na thost i dtaobh an chais.
Airteagal 36
Sula ndéanfaidh an tArdÚdarás smachtbhanna airgid nó íocaíocht phionósach thréimhsiúil a fliorchur mar a fhoráiltear sa Chonradh seo, dlífidh an tArdÚdarás caoi a thabhairt don pháirtí lena mbaineann a bharúlacha a chur faoina bhráid.
Beidh dlinse neamhtheoranta ag an gCúirt in achomhairc in aghaidh smachtbhannai airgid agus íocaíochtaí pionósacha tréímhsiúla a forchuireadh faoin gConradh seo.
I dtacaíocht lena achomharc, féadfaidh páirtí, faoi choinníollacha na chéad mhíre d'Airteagal 33 den Chonradh seo, dlíthiúlacht an chinnte nó an mholta a líomhnaítear a bheith gan comhlíonadh ag an bpáirtí sin a chonspóid.
Airteagal 37
Má mheasann Ballstát gníomh nó neamhgníomh ag an Ard-Üdarás a bheith, i gcás áirithe, de chineál a thabharfaidh suaití bunúsacha seasmhacha ina gheilleagar, féadfaidh sé an t-ábhar a thabhairt os comhair an Ard-Údaráis.","OPUS QED, lines 6299 to 6308"
"Ag aimsiú dea-shonraí ar dhramhaíl leictreach agus leictreonach
In ainneoin na ndeacrachtaí a bhaineann le haimsiú, ceadú agus anailísiú na sonraí um dhramhaíl is amhlaidh go bhfuil an EEA tar éis anailís
Tá corpas reachtaíochta ag an Eoraip maidir le lastas na dramaíola guaisí agus dofhuascailte.
Teastaíonn tuilleadh fianaise ámh i leith éifeachtacht na reachtaíochta chun an brú ar an gcomhshaol a mhaolú.
Is cás tábhachtach í an dramhaíl leictreonach, a mheastar bheith ina dhramhaíl ghuaiseach.
Is minic a dhíchóimeáiltear í san Afraic agus san Áise gan mórán trealaimh chosanta pearsanta ná beart rialála truaillithe nó gan aon trealamh ná beart den sórt sin a bheith ann.
Is minic a dhóitear na comhpháirteanna amuigh faoin aer le miotail a aisghabháil, agus is iondúil go
Tá gach cineál dramhaíola faoi lán seol.
Tá ualaigh mhéadaitheacha, go háirithe an dramhpháipéar, na plaistigh agus na miotail á mbogadh ó thíortha forbartha chuig tíortha nach mbíonn na caighdeáin chomhshaoil chomh dian céanna iontu.
","OPUS QED, lines 933 to 942"
"Bheidh a dhóthain féin de sholáthar uibheacha sa Chomhphobal méadaithe ionas gur dócha gur cúrsai inmheánacha margaidh, agus nach bearta i leith allmhairí a shocróidh praghsanna.
Aran ábhar gur fior sin cheana féin maidir leis an gComhphobal mar ala. agus maidir leis an Ríocht Aontaithe. d'fhéadfadh go dtarlódh athrú sna praghsanna ar mhargadh an Chomhphobail mhéadaithe sa dóigh chéanna agus a tharlaíonn sna margaí éagsúla i láthair na huaire, ar a shon go dtiocfadh dó a bheith beagán níos fairsinge.
Ar an taobh eile, an lé atá ann i dtreo an táirgiocht a dhlúthú isteach i lámha saintáirgeoirl, fara forbairtí comhthreomhara sa mhargaíocht, ba chóir go mbeadh d'éifeacht
leo laghdú a thabhairt ar an neamhchobhsaiocht amach anseo.
Creídim dá bhrí sin go bhféadfaimid sinn féin a chur in inmhe do rialacha an Chomhphobail.
Más féidir Iibh a dhaingniú go foírmiúil anois go bhfuil an bonn ceart tuisceana eadrainn i dtaobh a mbeidh ar ár gcumas amach anseo i gcás an bhainne, más féidir libh glacadh leis na tuairimí atá luaite agam ar thábhacht agus ar shainghnéithe mhargadh an bhagúin i gComhphobal méadaithe agus a aithint gur mhaith an rud an chobhsaíocht i gcás muiceola agus uibheacha, féadfaimidne a dheimhniú duit, ónar dtaobhna de, nach gá dúinn a thuilleadh ceisteanna a ardú ar na hábhair sin le linn na gcaibidlí, ach amháin i gcomhthéacs ginearálta na gcomhshocruithe idirthréimhseacha.
Ráiteas ón Uasal W. Scheel, Aire Gnóthaí Eachtracha Phoblacht Chónaidhme na Gearmáine, thar ceann toscaireacht an Chomhphobail
Tá toscaireacht an Chomhphobail i bpáirt leis an taifeach a rinne tú maidir le haidhmeanna an chomhbheartais in earnáil na dtáirgí bainne agus ar ar féidir a dhéanamh faoi láthair maidir le praghas miondíola a shocrú do bhainne lena chaitheamh agus, thairis sin, maidir le gníomh aíochtaí de chuid eagraíochtaí neamhrialtasacha táirgeoirí.
Tugann sé chun cuimhne, a mhéid is gá, go mbaineann an bac ar bhearta náisiúnta ag ceadú ionannas praghsanna do na táirgí bainne éagsúla, atá mar choinníoll i Rialachán (CEE) Uimh.
","OPUS QED, lines 15262 to 15271"
"Déanfar, áfach, na dleachtanna dá dtagraítear san fhomhír roimhe seo a laghdú go comhleanúnach go leibhéal na ndleachtanna a fhorchuirtear ar tháirgi a allmhairítear ón mBallstát a bhfuil caidreamh speisialta ag gach tir nó críoch ar leith leis.
Bainfidh céatadáin agus tráthchlár na laghduithe dá bhforáiltear faoin gConradh seo leis an difríocht idir an dleacht a fhorchuirtear ar tháirge ón mBallstát a bhfuil caidreamh
speisialta aige leis an tir nó an chríoch áirithe agus an dleacht a fhorchuirtear ar an táirge céanna ó laistigh den Chomhphobal, ar a theacht isteach i dtír nó i geríoch a allmhairíthe.
Ni bhainfidh mir 2 leis na tíortha agus na críocha a dhéanann cheana féin, mar gheall ar na hoibleagáidí idirnáisiúnta áirithe atá de cheangal orthu, taraif chustam neamhidirdhealaitheach a chur chun feidhme ar theacht i bhfeidhm don Chonradh seo.
Má thugtar isteach nó má athraítear ar dhóigh ar bith dleachtanna custam ar earraí a allmhairítear isteach sna tíortha agus sna críocha, ní bheidh sin ina chúis, ó dhlí ná ó ghníomh, le haon idirdhealú, díreach ná ¡ndíreach, a dhéanamh idir allmhairí ó na Ballstáit éagsúla.
Airteagal 134
I gcás na dleachtanna is inchurtha ar earraí ó thríú tir, ar a dteacht isteach i dtír nó i geríoch, a bheith ar leibhéal ar cosúii dó, nuair a chuirtear forálacha Airteagal 133(1) chun feidhme, trádáil a shraonadh chun dochair d'aon Bhallstát, féadfaidh an Stát sin a iarraidh ar an gCoimisiún na bearta is gá mar leigheas ar an geor sin a mholadh do na Ballstáit eile.
Airteagal 135
Faoi réir na bhforálacha a bhaineann le sláinte phoiblí, slándáil phoiblí nó beartas poiblí, déanfar an tsaoirse ghluaiseachta laistigh de Bhallstáit le haghaidh oibrithe ó na tíortha agus na críocha, agus laistigh de na tíortha agus na críocha le haghaidh oibrithe ó na Ballstáit, a rialú Ie comhaontuithe a thabharfar í gcrích amach anseo Ie formheas d'aontoil ó na Ballstáit.
","OPUS QED, lines 8246 to 8255"
"Uimh. in Ainmníocht na Bruiscile
CAIBIDIL 1
Ainmhithe beo
CAIBIDIL 2
Feoil agus scartach feola inite
CAIBIDIL 3 lase, crústaigh agus moilisc
CAIBIDIL 4
Toradh déiríochta; uibheaclia éan; mil nádúrtha
CAIBIDIL 5
","OPUS QED, lines 9392 to 9401"
"Méadaíonn tiontú mórscála na bhforaoisí ina dtalamh arúil an cion sin agus tionchair thromchúiseacha aige sin ar an mbithéagsúlacht.
D’fhéadfadh an fiadhúlra agus cainníocht agus cáilíocht an uisce bheith thíos leis freisin má thiontaítear achar mór óna ngnáthóga nádúrtha nó ó cheantair fheirmeoireachta traidisiúnta isteach sa diantáirgeadh don bhithfhuinneamh.
Tionchair sofheicthe ríthábhachtach san iompar toisc a thuilleamaí ar an ola.
Tá an earnáil iompair ag méadú na nastuithe gáis cheaptha teasa agus ag ithe coigilteas astuithe a bhaineann na hearnálacha eile amach.
Tá an Coimisiún tar éis moladh dá réir sin go soláthróidh bithbhreoslaí 10 % den bhreosla iompair bhóithre faoin mbliain 2020, más féidir iad a dheimhniú mar chinn inbhuanaithe.
Léirítear sna sonraí ón mbliain 2007 go bhfuil an bithbhreosla mar 2.6 % den bhreosla iompair bhóithre san AE.
Is amhlaidh d'fhonn 10 % a bhaint amach nach foláir don Aontas Eorpach táirgeadh agus allmhairí an bhithbhreosla a mhéadú ag tráth ina bhfuil na bithbhreoslaí ag lár díospóireachtaí casta éiceolaíochta agus eacnamúla.
Tá níos mó díospóireachta timpeall sprioc bithbhreosla an AE.
Tá Parlaimint na hEorpa tar éis ráthaíocht a éileamh le déanaí go dtiocfaidh 40 % den sprioc 10 % ó fhoinsí nach mbeidh in iomaíocht leis an táirgeadh bia.
","OPUS QED, lines 843 to 852"
"Iris Oifigiúil an Aontais Eorpaigh
PRÓTACAL MAIDIR LE RÓL NA bPARLAIMINTÍ NÁISIÚNTA SAN AONTAS EORPACH
TÁ NA hARDPHÁIRTITHE CONARTHACHA,
AG MEABHRÚ DÓIBH gur ceist a bhaineann le heagrúchán agus le cleachtas bunreachtúil gach Ballstáit é an dóigh a ndéanann na Parlaimintí náisiúnta grinnscrúdú ar a rialtas féin i ndáil le gníomhaíochtaí an Aontais Eorpaigh,
ÓS MIAN LEO níos mó rannpháirtíocht i ngníomhaíochtaí an Aontais Eorpaigh a chothú sna Parlaimintí náisiúnta agus feabhas a chur ar a n-ábaltacht a ndearcadh a nochtadh ar dhréachtghníomhartha reachtacha an Aontais Eorpaigh agus ar ábhair eile a bhfuil suim ar leith acu iontu,
TAR ÉIS COMHAONTÚ ar na forálacha seo a leanas, a chuirfear i gceangal leis an gConradh ar an Aontas Eorpach, leis an gConradh ar Fheidhmiú an Aontais Eorpaigh agus leis an gConradh ag bunú an Chomhphobail Eorpaigh do Fhuinneamh Adamhach:
TEIDEAL I
FAISNÉIS LE hAGHAIDH NA bPARLAIMINTÍ NÁISIÚNTA
Airteagal 1
","OPUS QED, lines 2764 to 2773"
